num,reading,the,win,lose
184,なかがわだいすけ,1,13,3
185,せんざきまなぶ,1,12,4
186,のだけいぞう,2,10,5
187,きのしたこういち,2,10,5
188,おぐらひさし,3,16,2
189,やしきのぶゆき,3,14,4
190,ふじわらなおや,4,16,2
191,たかだしょうへい,4,15,3
192,はたけやままもる,5,12,6
193,はたけやまなるゆき,5,12,6
194,まるやまただひさ,6,14,4
195,ごうだまさたか,6,14,4
196,さとうしゅうじ,7,13,5
197,すぎもとまさたか,7,13,5
198,ふじいたけし,8,15,3
199,ひらふじしんご,8,15,3
200,とよかわたかひろ,9,13,5
201,ふかうらこういち,9,13,5
202,さなだけいいち,10,13,5
203,いいづかひろき,10,13,5
204,みうらひろゆき,11,13,5
205,いとうのう,11,13,5
206,かわかみたけし,12,15,3
207,くぼとしあき,12,14,4
208,なめかたひさし,13,15,3
209,おかざきひろし,13,14,4
210,くぼたよしゆき,14,13,5
211,きたはまけんすけ,14,12,6
212,やぐらのりひろ,15,15,3
213,すずきだいすけ,15,14,4
214,きたじまただお,16,15,3
215,かつまたきよかず,16,13,5
216,まつもとよしゆき,17,15,3
217,たむらこうすけ,17,12,6
218,ほりぐちかずしざ,18,14,4
219,ちゅうざまこと,18,12,6
220,こんどうまさかず,19,14,4
221,のづきひろたか,19,11,7
222,きむらかずき,20,14,4
223,こばやしひろし,20,14,4
224,さとうしんや,21,14,4
225,ますだゆうじ,21,12,6
226,たかのひであき,22,13,5
227,やまさきたかゆき,22,12,6
228,いなゆうすけ,22,11,7
229,やまもとしんや,23,12,6
230,なかおとしゆき,23,12,6
231,まつおあゆむ,24,14,4
232,かねざわたかし,24,13,5
233,あくつちから,25,14,4
234,あんようじたかのり,25,13,5
235,わたなべあきら,26,13,5
236,いいじまえいじ,26,13,5
237,ちばさきお,27,13,5
238,うえのひろかず,27,13,5
239,はしもとたかのり,28,15,3
240,ささきまこと,28,15,3
241,みやたあつし,29,15,3
242,むらたともひろ,29,14,4
243,おおひらたけひろ,30,16,2
244,くまさかまなぶ,30,13,5
245,ふじくらゆうき,31,13,5
246,よこやまひろあき,31,12,6
247,しまもとりょう,32,12,6
248,にしおあきら,32,11,7
249,むらやまやすあき,33,15,3
250,さとうかずとし,33,14,4
251,かたがみだいすけ,34,16,2
252,なかむらりょうすけ,34,13,5
253,むらなかしゅうじ,35,14,4
254,さかぐちさとし,35,14,4
255,ひろせあきひと,36,15,3
256,ながおかゆうや,36,14,4
257,たかさきいっせい,37,13,5
258,とおやまゆうすけ,37,13,5
259,せがわしょうじ,0,,
260,いとだにてつろう,38,14,4
261,なかむらたいち,38,13,5
262,とべまこと,39,15,3
263,さとうあまひこ,39,14,4
264,とよしままさゆき,40,14,4
265,かないこうた,40,14,4
266,いとうしんご,40,13,5
267,むらたあきひろ,41,15,3
268,おいかわたくま,41,13,5
269,いなばあきら,42,13,5
270,たなかゆういち,42,13,5
271,さとうしんいち,43,15,3
272,にしかわかずひろ,43,14,4
273,わたなべまさかず,43,13,5
274,さわだしんご,44,14,4
275,おおいしただし,44,13,5
276,ながせたくや,45,14,4
277,あべけんじろう,45,13,5
278,すがいたつや,46,15,3
279,まきのみつのり,46,14,4
280,ささきゆうき,47,14,4
281,ふなえこうへい,47,13,5
282,かどくらけいた,48,13,5
283,あべこうる,48,13,5
284,たかみたいち,49,13,5
285,ふじもりてつや,49,12,6
286,さいとうしんたろう,50,15,3
287,やしろわたる,50,14,4
288,かみむらわたる,51,14,4
289,いしだなおひろ,51,13,5
290,わたなべひろむ,51,13,5
291,ちだしょうた,52,15,3
292,たけうちゆうご,52,13,5
293,いしいけんたろう,53,15,3
294,さんまいどうたつや,53,14,4
295,ほしのよしたか,54,13,5
296,みやもとひろし,54,13,5
297,ますだやすひろ,55,13,5
298,くろさわれお,55,13,5
299,いまいずみけんじ,0,,
300,あおしまみらい,56,16,2
301,かじうらひろたか,56,13,5
302,たかのさとし,57,13,5
303,こんどうせいや,57,13,5
304,となりりゅうま,58,14,4
305,いでじゅんぺい,58,12,6
306,ささきだいち,58,12,6
307,ふじいそうた,59,13,5
308,おおはしたかひろ,59,12,6
309,にしだたくや,60,15,3
310,すぎもとかずお,60,12,6
311,さいとうあすと,61,14,4
312,こもりゆうた,61,12,6
313,はせべこうへい,62,14,4
314,いけながたかし,62,14,4
315,ほんだけい,63,15,3
316,やまもとひろし,63,13,5
317,でぐちわかむ,64,14,4
318,くろだたかゆき,64,13,5
319,わたなべかずふみ,65,16,2
320,いしかわゆうた,65,13,5
321,おりたしょうご,0,,
322,はっとりしんいちろう,66,14,4
323,たにあいひろき,66,14,4
324,いとうたくみ,67,15,3
325,とみたせいや,67,14,4
326,こがゆうせい,67,13,5
327,いだあきひろ,68,13,5
328,たかだあきひろ,68,13,5
329,よこやまともき,69,13,5
330,かりやまみきお,69,13,5
331,おかべれお,70,15,3
332,とくだけんし,70,15,3
333,ふじもとなぎさ,71,13,5
334,さいとうゆうや,71,13,5
335,こやまれお,0,,
336,こやまなおき,72,13,5
337,もりもとさいと,72,13,5
338,ませぎかんた,72,13,5
339,みやじまけんた,73,15,3
340,うえのひろとし,73,14,4
341,やまかわたいき,74,14,4
342,たかはしゆうじろう,74,14,4
343,おそがぐちえほと,75,15,3
344,よしいけりゅうま,75,14,4
345,さいとうゆうき,76,17,1
346,すみざきとしき,76,15,3
347,いわむらりんたろう,77,14,4
348,いけがきひろと,77,13,5
349,かたやましりゅう,77,13,5
350,やましたかずき,77,10,8
351,こくぼあお,78,15,3
352,かわむらゆうと,78,14,4
353,ふるいじょうだい,78,14,4
354,わたなべはるま,79,14,4
355,くにいしょうた,79,13,5
